TICKER
AAPL
MSFT
GOOGL
AMZN
TSLA
META
NVDA
BRK.B
JNJ
JPM
PG
UNH
V
WMT
MA
HD
DIS
PYPL
VZ
ADBE
NFLX
CMCSA
PFE
KO
INTC
T
PEP
ABT
TMO
CVX
