TICKER
AAPL
MSFT
GOOGL
AMZN
TSLA
META
NVDA
BRK.B
JNJ
JPM
PG
UNH
V
WMT
MA
HD
DIS
PYPL
VZ
ADBE
NFLX
CMCSA
PFE
KO
INTC
T
PEP
ABT
TMO
CVX
COST
LLY
ACN
DHR
NEE
MRK
CSCO
CRM
TXN
LOW
QCOM
HON
UPS
MDT
AMT
LIN
IBM
CAT
GS
INTU
AMAT
RTX
BKNG
ISRG
SPGI
NOW
AXP
MU
TJX
BLK
SYK
GILD
PLD
ADP
CI
REGN
MMM
ZTS
CME
TMUS
EOG
DUK
ICE
CL
FIS
SCHW
NSC
MDLZ
CB
SO
USB
BSX
CSX
ITW
TGT
COP
SHW
EQIX
MO
AON
ANTM
ECL
APD
DXCM
FCX
MMC
EMR
